x,y,token
-60.596306,26.08421,emma
3.9247572,47.924988,by
-58.70015,28.264816,jane
-1.8703685,12.516601,volume
-22.277899,6.176891,i
29.532335,-63.677444,chapter
-33.84865,9.758804,handsome
-34.70965,7.2608037,clever
3.537359,48.374092,and
-4.4584303,-6.3172464,rich
3.8532064,48.351288,with
1.4539378,48.698856,a
-48.401722,25.57678,comfortable
-14.092928,32.467724,home
-34.496906,2.0154467,happy
-56.93994,3.2503877,disposition
9.554558,29.174294,seemed
3.1522455,48.089695,to
-14.94989,-2.4950497,unite
-9.913699,19.185648,some
3.82628,48.336464,of
3.5427616,48.447468,the
-23.510939,1.1232141,best
-1.2052015,-43.961678,blessings
-48.426258,7.0185432,existence
-1.9399623,45.912422,had
-17.81993,-2.8225813,lived
-19.368639,23.957378,nearly
49.425987,-43.767735,twenty
2.366675,36.36389,one
48.610897,-46.154015,years
3.9451516,48.28955,in
-3.8597796,3.2989194,world
-32.8376,7.829829,very
-0.9108165,40.44129,little
-34.05418,-17.329977,distress
3.4805076,48.955967,or
-19.028261,-32.84559,vex
-31.07969,46.201427,her
-31.076794,46.18999,she
-2.1717255,45.43816,was
-19.428476,-17.980217,youngest
58.506317,-4.657814,two
20.033354,-64.22126,daughters
-8.300546,8.484691,most
-52.53743,11.121644,affectionate
-23.626743,-12.248832,indulgent
12.542334,-20.498312,father
-44.226845,2.239203,consequence
12.320008,-20.791222,sister
-4.211932,44.27214,s
-50.463417,-1.0151767,marriage
-38.314636,26.312052,been
-21.15436,39.324245,mistress
-1.7301515,44.06991,his
24.606249,-29.994158,house
4.133729,48.578114,from
-22.53659,32.254295,early
-43.828503,16.525187,period
12.377657,-20.614443,mother
26.139936,-54.97303,died
-32.724407,7.4280715,too
16.322392,31.930822,long
-20.183096,23.100943,ago
1.4860641,46.42627,for
-1.3907665,46.592113,have
5.782427,24.850754,more
5.6507373,24.836191,than
1.3507355,48.97236,an
-37.316326,-16.584736,remembrance
23.33048,-4.7055283,place
-36.407818,23.759909,supplied
-34.66325,9.310169,excellent
10.953054,-19.892935,woman
2.877248,44.430656,as
-31.211033,3.717158,governess
-6.73799,41.81356,who
16.947582,-10.914131,fallen
-29.931385,28.709177,short
-55.397667,1.4963561,affection
49.22647,-44.47013,sixteen
-37.69465,-0.52077955,miss_taylor
-60.303974,26.132856,mr_woodhouse
-19.255543,-3.603631,family
-0.7137526,-0.5351348,less
-29.841112,-0.29450813,friend
-34.604,8.262762,fond
-13.246627,-9.836304,both
1.2443777,46.594906,but
-55.02396,22.534193,particularly
19.927929,-25.14491,between
0.8018845,47.434464,it
-55.971817,9.54851,intimacy
-18.51752,-18.78739,sisters
-10.948001,16.777565,even
-1.3082654,38.283768,before
2.568004,-19.02148,ceased
17.231913,-16.755476,hold
-0.29264757,-16.269121,office
-32.80532,36.3586,mildness
-57.116795,3.159584,temper
-29.581066,22.544296,hardly
-47.15737,-9.315095,allowed
-32.01072,-3.999223,impose
-23.569235,-1.6525757,any
-32.484024,-5.1103125,restraint
34.00145,1.8599515,shadow
-21.215597,-20.590803,authority
-18.176943,-8.284747,being
-3.9862413,39.001644,now
28.697256,-8.685465,passed
26.760368,52.90724,away
0.87760246,43.017593,they
-8.706756,-1.2540905,living
10.816065,-39.57149,together
-37.154716,6.7977133,attached
-34.072544,-2.8784504,doing
-4.5650983,38.515347,just
0.7252268,47.18101,what
-40.650513,0.0108882375,liked
-42.80556,6.6002398,highly
-11.014808,-34.878258,judgment
-22.697287,34.43708,directed
-15.93232,13.420511,chiefly
-17.73285,-16.488989,own
-16.720343,6.412506,real
-19.161663,-15.933248,evils
-32.957886,3.7846465,indeed
-55.184902,6.676029,situation
4.4467254,36.34433,were
-8.236407,-16.05561,power
-18.228262,-8.292396,having
-12.895981,43.444378,rather
-34.181698,3.563488,much
-7.8551216,31.929564,way
-26.052458,5.483447,think
-33.189766,4.4342732,well
-31.125315,46.182667,herself
-0.78037035,4.4766493,these
1.3490833,47.10857,which
-40.083736,22.66358,threatened
-2.765395,6.5891495,many
-40.079716,15.872426,enjoyments
-54.729008,-8.8295555,danger
-38.41813,6.1509624,however
2.4791849,46.19183,at
-21.378973,-6.002809,present
2.868494,44.42816,so
0.9907239,47.14224,that
-21.328444,-2.3863795,did
-5.5995426,35.036194,not
-50.55948,-7.2913256,means
-35.54407,13.217234,rank
-3.6153903,-22.883633,sorrow
30.81771,48.01037,came
-3.2163413,38.97438,--
-27.019901,17.764565,gentle
3.331309,48.376507,all
21.346428,26.211073,shape
-43.096638,-4.9487796,disagreeable
-58.931587,9.721241,consciousness
-31.539343,5.166274,.--
-49.77866,-16.846434,married
-49.954926,0.045069393,loss
-3.7550902,34.33453,first
18.838444,-38.02207,brought
-3.5914369,-23.126467,grief
5.556688,48.19606,on
-46.37588,26.996529,wedding
-21.943783,32.203568,day
1.1709646,47.943207,this
-15.319604,-31.044546,beloved
26.946383,49.233074,sat
25.375786,3.420102,mournful
-33.67611,5.856042,thought
-51.605415,2.8360274,continuance
5.9421997,48.21136,over
9.856209,-19.173931,bride
9.298105,-40.08236,people
11.850812,-16.163206,gone
-10.119249,31.276226,left
-41.864346,-11.309704,dine
-23.434095,-1.6991589,no
-41.3825,15.617008,prospect
38.58955,-55.602673,third
-23.888277,-12.245056,cheer
-22.403507,32.24197,evening
-33.234425,36.262363,composed
-0.85917366,43.751183,himself
15.970856,-8.970047,sleep
-0.94075745,33.23175,after
-30.000223,50.72265,dinner
-48.51536,27.10835,usual
-4.07527,39.344578,then
-5.6888022,35.019672,only
-27.512068,-26.083982,sit
-15.043061,-6.173676,lost
-56.335182,6.9660316,event
2.0246167,25.312355,every
-37.62403,-24.044785,promise
-53.94228,3.3986154,happiness
-59.547318,26.682856,mr_weston
-11.21181,41.820766,man
-51.557472,6.14811,character
-34.725967,-1.9662069,easy
-43.388493,3.087331,fortune
-35.98864,13.508029,suitable
-3.1803226,-1.6465541,age
-36.9059,5.208508,pleasant
-57.16993,3.8200645,manners
1.4687904,45.923393,there
-57.95219,9.825592,satisfaction
-40.456528,8.4639,considering
-53.265007,-0.0050610118,self
-51.768456,-0.09325739,denying
-41.79259,2.5682619,generous
-54.453884,3.4086475,friendship
-24.948095,15.538073,always
-43.04468,-1.2307931,wished
-24.219193,-16.103123,promoted
-44.08974,6.2682915,match
50.25743,27.095314,black
-22.370329,32.238766,morning
-5.431992,-11.347202,work
-26.144056,2.933877,want
-21.354471,-2.2143707,would
-0.19693415,46.862843,be
-31.369673,24.878998,felt
-45.018547,36.822227,hour
-34.213554,27.95879,recalled
4.6146536,-2.3000274,past
-57.736965,-1.0008342,kindness
2.9175239,44.407654,how
7.96334,-43.567116,taught
0.45236555,38.77101,played
50.608364,-43.396156,five
-5.562799,40.18293,old
-46.27565,1.7678522,devoted
-9.476446,-13.136306,powers
-44.753784,-6.2113614,attach
-45.3534,27.616714,amuse
-23.389091,-5.0326056,health
32.399162,17.945738,through
24.514168,8.85003,various
-2.6178217,-1.6095285,childhood
3.4211164,26.532873,large
-22.002602,-9.402449,debt
-57.868702,10.921082,gratitude
-25.434317,21.480904,owing
-12.762309,27.343071,here
-43.438934,14.987741,intercourse
-3.7781827,34.392677,last
51.098896,-44.321228,seven
-55.39162,2.5381422,equal
-40.933098,15.60735,footing
-13.325357,-17.406242,perfect
-47.83058,-0.44752845,unreserve
-38.510708,31.46048,soon
17.538298,-40.02618,followed
-53.344666,26.856514,isabella
1.1617727,43.067566,their
9.096596,2.1707702,each
2.473297,36.367825,other
-13.299386,-5.760394,yet
-38.080784,-4.8451304,dearer
-59.820164,14.660618,recollection
-42.650917,9.784388,companion
-17.86827,5.2686276,such
-2.8435965,6.640233,few
18.419956,-34.003952,possessed
-34.482025,11.219197,intelligent
-38.891525,24.942734,informed
-43.393574,-4.689601,useful
-30.149132,-12.091011,knowing
0.46929902,-27.953163,ways
-53.268303,12.505915,interested
20.577568,22.658787,its
-47.714985,13.462559,concerns
-46.082424,9.742087,peculiarly
-39.362072,-6.4620957,pleasure
-45.805183,17.005224,scheme
-44.37176,9.323105,hers
-13.936631,-26.88363,whom
-21.321339,-2.367464,could
-19.616787,-41.632027,speak
22.136303,-43.534264,arose
-5.6183767,34.948975,never
-34.743053,-10.750467,find
-32.79579,-24.716454,fault
-21.06859,-29.447453,bear
-27.374895,-5.2479634,change
-24.733318,8.077547,?--
-20.60663,2.1131506,true
-15.332764,33.02633,going
5.555177,43.078438,half
6.4289584,54.478897,mile
0.44203204,43.08189,them
-39.55292,-4.5625224,aware
3.3132832,26.508451,great
-21.65153,-0.9750515,must
-34.27591,-4.4253845,difference
-60.213722,26.492117,mrs_weston
-49.78908,9.733899,advantages
-17.403059,8.630223,natural
-48.89742,9.242688,domestic
-52.615875,2.9162054,suffering
-16.499039,7.3691754,intellectual
-37.83812,18.21665,solitude
-15.095994,-30.938553,dearly
-50.92346,-11.999235,loved
-0.8592807,43.683502,he
-24.59527,-32.839024,meet
-53.33263,17.057192,conversation
-56.197323,3.0168307,rational
-9.031644,-34.401443,evil
-35.701233,16.58904,actual
-34.206417,-6.0637465,disparity
6.4679084,-1.434635,ages
-16.758085,-11.266028,increased
-45.119564,6.2793975,constitution
-48.835407,9.220973,habits
-4.106344,-25.771027,life
-30.711517,-14.775738,without
-47.76325,9.1546135,activity
-57.63736,-2.8164742,mind
-5.4860206,-8.781021,body
-38.10356,-4.467,older
-13.318854,-5.7669888,though
0.8955912,3.6505306,everywhere
-38.619938,15.204134,friendliness
-2.8110697,-24.99048,heart
-59.16307,2.4337456,amiable
52.290997,-24.311682,talents
-52.343933,14.948564,recommended
-0.24555649,43.298775,him
-2.5701435,32.5854,time
9.844422,22.443756,comparatively
11.365154,-14.447845,removed
-36.821667,-6.7018223,matrimony
-46.485847,29.930536,settled
-23.912527,29.547886,london
6.1883554,54.92161,miles
26.755482,52.882256,off
11.287495,1.8665788,beyond
-20.051262,-12.451758,daily
13.642721,11.728807,reach
-39.78418,35.227306,october
-39.872723,35.291874,november
10.48552,33.254192,struggled
-48.947594,32.827442,hartfield
-2.5422049,31.284075,christmas
-20.402426,31.961706,next
-50.524223,33.687748,visit
12.053212,-20.673185,husband
14.777415,-23.114788,children
19.558315,-20.94248,fill
-24.94604,-26.390623,give
-46.92022,7.830594,society
25.06989,53.195778,again
-48.911304,33.04329,highbury
27.738907,9.590274,populous
-1.3053155,21.937557,village
9.610564,29.240383,almost
-23.827555,29.50124,town
-46.193134,23.172855,spite
-4.9702187,0.5243245,separate
32.004642,31.003365,lawn
17.522184,-50.85037,name
-32.981865,5.8275433,really
-35.94065,-10.642344,belong
-45.297974,13.678269,afforded
-14.958994,-16.487463,equals
14.563398,54.47549,looked
25.204523,51.943253,up
-52.575634,12.340497,acquaintance
-41.266407,7.2665977,universally
-35.273304,3.8696902,civil
19.370312,-31.890728,among
-22.518103,-15.118278,accepted
-31.31392,33.843044,melancholy
-15.844223,45.449112,sigh
-38.620785,-7.2380147,wish
-36.611176,-2.8016715,impossible
-8.757346,5.7152576,things
18.536663,-2.7533631,till
-0.377968,37.874744,awoke
-4.475181,37.140602,made
-43.076332,-3.3346465,necessary
-25.684383,17.493885,cheerful
-49.120758,16.457407,spirits
-50.146606,17.981295,required
-45.074757,21.570038,support
-36.663498,7.1728888,nervous
-34.503128,5.944756,easily
-29.138012,18.811544,depressed
-33.77923,5.8736324,used
-6.0098176,-10.205499,part
-33.03484,14.994429,kind
-7.902216,-1.7845664,origin
-45.565025,-9.821594,reconciled
12.378918,-21.096865,daughter
-51.449383,-2.8515196,marrying
-16.503963,-24.3542,nor
-19.070185,1.5720363,ever
-34.774914,-16.205189,compassion
-36.751698,8.530959,entirely
-3.7707217,38.739826,when
-54.318245,23.574106,obliged
-52.22082,3.1284466,selfishness
-46.714928,-10.052727,able
-26.02571,5.553142,suppose
-39.403595,-8.359423,feel
-39.55907,-2.8102562,differently
-55.114944,22.368235,disposed
-23.131453,-21.572737,done
-31.016064,7.097879,sad
-20.313702,4.83064,thing
-35.396767,4.8844953,great_deal
-38.470085,-4.79346,happier
0.865945,45.862946,if
-47.346657,35.21686,spent
2.9235616,-8.503126,rest
2.641396,52.28925,smiled
-40.46011,-9.419791,cheerfully
-17.28134,-42.45639,keep
-13.2485485,-12.67005,thoughts
-29.984568,50.732502,tea
-26.819124,6.163689,say
-18.02689,12.226138,exactly
-16.53006,50.656765,said
-13.878721,34.59978,poor
-25.995277,8.533728,!--
-53.05543,-3.3771272,pity
-19.55205,8.023359,is
-24.93923,12.567425,"!"""
-34.510086,-12.163758,cannot
-27.781874,3.292607,agree
-22.36351,6.18445,you
-26.746286,9.866638,papa
-25.916374,5.725173,know
-27.468939,-0.06022942,good
-35.517,10.245954,humoured
-41.734898,0.5822564,thoroughly
-28.675835,0.490891,deserves
12.312502,-21.183651,wife
-40.66333,-3.020742,;--
-17.095505,-31.901934,live
-18.844738,-0.83960706,us
-5.193624,30.16302,my
-32.327152,11.142904,odd
-21.412214,-1.9901288,might
-24.69694,8.053453,"?"""
23.357042,-4.659994,where
-48.575294,-7.4473586,advantage
58.50571,-4.6701636,three
-10.119465,14.253589,times
-26.426064,10.21842,dear
-25.012897,13.059018,"."""
-34.038143,5.351957,often
-18.426838,-0.597947,we
-21.720356,-0.4134054,shall
-11.407289,26.27441,see
-15.251091,33.115665,coming
-44.951977,34.844997,meeting
-28.540817,8.220447,begin
-19.468683,6.2748733,go
-25.540543,0.786177,pay
-22.31539,14.020319,am
-19.454363,6.2499347,get
11.500076,5.773693,far
-48.79816,32.51985,randalls
21.643213,16.050028,distance
-15.627205,-20.920055,walk
-24.732628,-0.9226811,nobody
-5.172282,30.116766,your
17.059458,15.923232,walking
-39.38873,38.741028,carriage
-32.383,2.193647,sure
17.050283,-52.497063,james
-21.787476,-0.28026775,will
22.103815,27.578184,like
11.836542,43.03879,put
31.404291,-4.620293,horses
4.488447,36.462624,are
17.171703,22.925325,while
-50.86722,29.519018,paying
-18.582756,-0.82639295,our
13.919696,44.414783,into
-16.707676,35.748543,stable
-38.331757,26.337568,already
-34.27919,39.137356,talked
18.39679,-3.3400102,night
-21.681255,-0.80911833,may
-28.084543,-11.569013,because
-50.179703,-5.728058,doubt
-31.726727,-4.218454,whether
-24.599371,-26.470951,take
-24.226501,-0.8197362,anywhere
-23.932783,-2.581125,else
-5.9882984,52.7507,got
18.123974,-57.204475,hannah
-52.37688,31.642899,mentioned
-32.477734,2.1536887,glad
-31.099186,3.1090512,lucky
-45.105217,-1.3705741,slighted
5.7394567,48.15253,upon
-44.467842,1.1015425,account
-26.191896,-25.396416,make
14.658997,-58.20375,servant
-33.42503,8.798209,pretty
8.439676,-44.83488,spoken
-14.754336,36.55344,girl
-52.053566,-1.8313218,opinion
-14.754159,28.969418,whenever
-24.919487,4.2253985,asks
-0.24052067,43.174953,me
-25.37452,4.942916,do
-20.33908,-6.639145,manner
49.882957,-19.28386,needlework
-17.250246,-42.335285,observe
20.511139,30.095276,turns
26.421146,38.948067,lock
12.008439,50.341187,door
-9.689524,31.488298,right
-36.22595,-16.343187,comfort
-15.386661,31.027369,somebody
-3.6912527,35.94973,about
-11.181349,24.202114,goes
-31.14887,-15.805836,hearing
-37.643337,-20.789356,tell
-39.536007,-14.531978,spared
-52.577557,14.089385,exertions
-12.342798,-26.688665,maintain
23.875124,2.4056313,flow
-49.68105,10.748737,ideas
-49.761982,19.49295,hoped
-22.704544,-32.03141,help
-48.192173,25.595324,tolerably
-6.501312,20.95611,attacked
-51.862988,1.3167138,regrets
23.80058,45.429157,table
-43.170734,27.856348,placed
-53.541306,18.262835,visitor
-32.34764,41.047215,immediately
-38.11368,31.820147,afterwards
28.636847,-8.436473,walked
-54.77681,10.55976,unnecessary
-60.387108,26.283932,mr_knightley
-59.49873,2.4910429,sensible
49.496006,-44.010117,eight
49.43067,-43.84217,thirty
-52.425774,12.245523,intimate
-46.73027,10.797665,connected
-19.179499,-18.111912,elder
12.3362465,-21.21481,brother
-40.75052,17.02169,frequent
-40.08033,-27.205465,welcome
-38.591892,38.913383,directly
-43.74589,15.174661,mutual
-43.07761,15.049759,connexions
3.1345115,-19.750772,returned
-23.256382,16.27979,late
10.081962,-14.979681,days
-44.991135,20.135862,absence
-23.979086,22.02945,brunswick
36.23223,25.148676,square
-55.010468,18.600521,circumstance
-32.16293,17.63136,animated
-45.572437,24.042042,inquiries
12.302601,-54.765915,answered
-42.747925,8.896313,gratefully
-29.1927,15.086705,observed
-19.982779,6.6821723,come
13.923083,44.432266,out
-25.11542,-34.51323,call
-26.69636,-22.231003,afraid
-33.328808,3.7799947,shocking
-22.785425,12.2712555,sir
6.3377857,22.27919,beautiful
32.41878,28.446827,moonlight
18.73553,7.324818,mild
-22.090454,-30.57264,draw
25.116446,53.14895,back
31.94985,-17.209517,fire
-17.140024,22.677843,found
15.13371,11.240862,damp
6.7403603,41.09391,dirty
-0.48204672,27.70376,catch
15.079273,11.263424,cold
-8.48063,30.475386,look
10.440166,41.29945,shoes
-5.624305,35.429844,quite
-39.003014,5.079486,surprising
33.910656,10.562083,vast
-15.301725,-30.259247,deal
39.925777,-2.3444786,rain
27.4121,-10.498001,rained
-32.90813,5.2259226,dreadfully
-6.6161327,30.106316,hard
-29.996017,50.72015,breakfast
-40.626183,0.040420435,wanted
-18.377592,37.911125,bye
7.833914,-20.941908,joy
-16.20109,4.657348,sort
-43.41568,10.748595,feeling
-13.179506,31.685822,hurry
-34.20021,-10.072683,hope
30.808065,47.982395,went
-37.89945,-2.6421142,behave
-17.790724,49.17047,cried
-23.194073,12.926489,ah
-38.431484,-41.162186,tis
-30.888443,9.351467,business
-21.40408,41.199043,mr
-30.50112,4.80079,miss_woodhouse
-25.379221,3.1711938,please
-25.40263,-2.6181304,possibly
-24.988356,12.997492,.'
-55.68872,-0.98087364,regard
-11.282942,24.236317,comes
-36.589474,-1.5112736,question
-55.05623,7.8794384,dependence
-45.217144,12.919114,independence
-41.975224,-4.703484,rate
-37.74964,-5.1133633,better
-27.540464,14.005469,especially
-0.77382714,4.3952723,those
2.3179586,17.52589,fanciful
-35.942905,1.3428284,troublesome
-13.788483,5.3709774,creature
48.785088,31.262497,head
-32.540447,3.5573676,certainly
-31.517742,-12.168395,believe
-14.037376,49.08473,","""
-14.080697,21.57169,sometimes
-34.471043,-29.504688,dearest
-25.552973,5.6983457,mean
-26.851154,2.8609605,_you_
6.765768,10.672138,horrible
-32.289318,-1.1453694,idea
-23.293768,12.871754,oh
-39.807327,-1.4032632,meant
-34.922882,-8.323399,myself
-28.087383,-1.7400186,loves
-35.124382,4.9961166,joke
2.0114956,25.327383,another
-14.586494,41.765068,fact
-55.520172,-0.6748112,faults
-28.552399,-16.260412,told
-59.874435,2.5587902,agreeable
-28.522816,-16.087534,knew
-40.25445,-7.606333,suspect
-24.485191,2.067767,knows
-38.324043,-8.276568,flatter
-58.65367,14.137381,reflection
-1.8314948,46.252247,has
-7.1247315,-3.2872322,persons
-17.162848,11.781784,chances
-40.335217,-13.602853,willing
-19.705278,-0.3194218,let
20.017807,-42.99066,pass
-15.071599,48.879982,"--"""
-19.758116,-41.900818,hear
-37.179104,2.7660177,behaved
-28.479218,26.793169,punctual
-8.473428,31.093628,looks
24.078665,-6.2564526,tear
16.723063,37.32797,face
-25.48856,26.801252,seen
8.732732,-12.161629,apart
28.402905,12.511739,bears
-32.419724,2.1782794,sorry
-37.773037,-13.033443,lose
-54.52217,31.995916,miss
-24.533743,2.4758997,thinks
17.447441,-13.5651865,turned
18.936506,-33.225014,divided
15.523676,-9.139929,tears
-28.617086,19.841187,smiles
-21.398132,-2.0837255,should
-12.91143,-32.210957,acceptable
-39.064346,5.0721264,important
-30.139168,-7.025437,secure
-20.119774,-12.411966,provision
-0.49067867,-59.283993,therefore
-40.996315,-10.190306,allow
-4.9452143,-18.903576,pain
-40.021908,25.621561,happily
-24.753914,-17.819204,forgotten
-22.000952,3.7726395,matter
-29.478582,24.886742,considerable
50.86338,-43.171688,four
-20.127808,23.115494,years_ago
-40.25035,8.595486,proved
-37.76903,-0.81131583,marry
18.518164,39.992928,shook
-29.354025,17.597662,fondly
-16.465698,50.60614,replied
-33.813293,-6.6179795,matches
-31.70678,-3.823733,whatever
-26.821634,-28.744326,pray
-19.559696,-23.75778,none
-46.848583,-0.09846579,greatest
-51.488632,13.095214,amusement
-56.96144,6.083911,success
-38.201187,3.598805,perfectly
-40.638165,24.978758,constantly
-33.926464,24.673248,occupied
-32.088715,-4.5135307,either
-45.158573,-17.371532,friends
-25.613213,-5.775913,wherever
-34.23706,-8.486654,need
-47.458336,35.484917,spend
4.436629,12.767708,single
37.11415,-53.47517,year
-31.85074,-24.939219,alone
-14.21632,-4.143864,others
18.26813,-59.96018,son
-22.57344,42.722275,uncle
-5.0755167,43.430813,letting
25.401548,3.025842,solemn
-28.16639,5.1023464,nonsense
-49.34649,22.011301,subject
-27.963285,-20.107805,believed
-17.941408,1.020679,since
-42.71572,35.911125,met
27.900112,17.532516,broadway
33.687252,27.127422,lane
7.420273,44.713562,began
37.15502,37.577126,darted
-49.24363,7.206407,gallantry
-0.85888577,-8.304622,borrowed
-17.867928,37.19427,farmer
-7.514166,33.519333,planned
-0.70172596,-45.521397,blessed
-41.23113,12.215877,instance
-27.044203,-27.059275,leave
-10.934856,22.42612,making
-31.470316,-12.181609,understand
-51.949375,-5.783687,endeavour
-42.90581,-3.1575873,properly
-49.042805,19.164713,endeavouring
-25.237654,-28.14254,bring
-36.500034,-44.420303,worthy
-47.412567,15.521629,employment
14.859625,-22.51163,young
-17.99611,39.541134,lady
-40.758938,-7.7411284,imagine
13.948907,-52.761517,saying
-26.936577,2.2038143,yourself
-33.559483,-6.64523,idle
-12.241226,52.345,",'"
-36.7567,-30.212635,why
-28.822668,6.208293,talk
-54.99912,1.0109221,merit
3.3995543,-22.130096,proud
-25.902636,5.996491,guess
-30.017574,3.5121584,_that_
-22.058893,0.21789722,can
-23.097437,-21.416323,known
-12.85467,-15.432595,triumph
-40.30544,-5.066682,depend
-15.433006,9.3666315,merely
-17.601057,31.358883,luck
-20.844908,-4.625179,talent
8.53452,-47.886868,word
-33.30976,-3.3704927,quarrel
-46.93239,-2.2991018,claim
21.30125,28.930721,drawn
-7.402911,8.0926,pictures
-0.5905971,48.85909,something
-35.2905,-6.9174542,nothing
-46.17169,24.22541,visits
-23.178108,-16.94668,given
-32.60293,-7.183746,matters
-32.717842,7.124914,enough
-41.17986,-7.6246963,comprehend
12.865085,46.008583,open
-35.446533,10.283856,hearted
-31.37055,3.734617,weston
-35.236305,10.462214,unaffected
-24.283808,-6.6047173,safely
-25.631502,3.9756079,manage
-38.179844,-1.7446645,likely
-32.655827,-24.27656,harm
-42.288143,-6.071199,interference
-10.379261,39.013943,rejoined
-19.89468,-45.349083,understanding
-34.75891,7.200863,silly
20.718004,-21.205183,break
-0.3013953,22.512844,circle
-59.884308,26.590084,mr_elton
-2.1971679,39.24495,",--"
4.8147764,5.2583885,whole
-16.804508,15.351207,fitted
-46.840343,27.45707,comfortably
-5.4694486,-33.94372,shame
-50.368004,26.293053,longer
26.781578,16.525845,joining
17.482681,-15.807403,hands
-3.752935,34.27996,same
5.282409,-40.822998,service
-15.6162195,-37.989292,shew
-55.046432,13.978811,attention
-37.6817,-20.631397,ask
-29.937109,4.219377,dare_say
-4.801403,53.440865,laughing
-41.62075,-11.050671,invite
31.580256,20.8472,fish
-41.019802,-10.116807,chuse
50.54937,-43.505863,six
-26.504704,-1.0145878,care
-1.9650692,13.863843,ii
11.734245,5.140775,native
20.16328,-52.20078,born
-60.11041,2.7141051,respectable
4.217347,-43.037766,generations
49.438946,12.677448,rising
-43.67523,3.595455,property
-21.839666,-17.294909,received
-48.971836,8.125181,education
-29.482555,10.631376,succeeding
3.3729763,26.50926,small
9.682439,-34.473495,become
4.6835165,6.907718,homely
-41.518192,14.561063,pursuits
-18.43226,-18.879862,brothers
-47.104004,29.731787,engaged
-38.822437,-5.79291,satisfied
-47.389874,9.100518,active
-39.716206,14.359627,social
0.6249968,25.04738,entering
-2.391178,21.0457,county
2.9854808,57.7254,captain
-27.644606,14.044579,general
-39.880566,11.181943,favourite
2.4566472,15.571506,military
-51.946606,25.238972,introduced
-56.917385,30.409729,churchill
-29.281334,12.013418,yorkshire
20.244865,-11.960563,fell
-14.570545,-25.569902,love
-39.60102,-2.980336,surprized
-16.744854,-1.521179,except
3.820906,7.1594415,full
-9.895808,-24.577234,pride
-50.09744,8.155847,importance
-51.527645,7.2187614,connexion
-20.397095,-27.723867,offend
-17.212626,-39.423042,command
15.78061,30.702717,bore
-49.298912,3.3070607,proportion
-44.21495,12.44868,estate
15.148599,-17.316206,took
7.7086544,-5.922497,infinite
-57.759266,11.354066,mortification
-56.465492,31.10437,mrs
28.698936,45.02638,threw
-21.059814,-13.271801,due
-20.220705,-8.347345,decorum
-45.42754,12.310216,produce
-35.000175,-12.10787,ought
7.6572123,-15.338718,whose
-25.349854,16.483118,warm
42.81421,-2.5507052,sweet
-24.852728,-33.415077,return
-6.882518,-48.056686,goodness
-7.411518,-30.37673,spirit
-59.944275,10.22828,resolution
-17.867937,-29.610043,pursue
-30.520023,-20.016125,refrain
-44.479897,-3.56085,unreasonable
1.4849765,-30.793589,anger
-6.7946873,20.867086,missing
-59.814415,-6.9797535,former
-48.13966,7.973802,income
13.858508,27.189117,still
-52.607944,8.49163,comparison
-50.0451,32.70905,enscombe
-18.706894,-32.35067,cease
-6.4893475,33.979862,once
-45.8263,3.6757236,considered
-42.780373,-3.4463055,churchills
-12.663224,10.657457,amazing
